no.,stage,date,weekday,match_no,team,player,point,rank,pt,host,commentary,judge,reporter,round_no,win_no,deal_in_no,riichi_no,call_no,drawn_no,renchan_no,4call_no
8,2018R,2018/10/05,金,2,赤坂ドリブンズ,鈴木たろう,59700,1,79.7,松嶋桃,白鳥翔,張敏賢,松本圭世,10,5,0,6,0,0,1,0
8,2018R,2018/10/05,金,2,U-NEXT Pirates,朝倉康心,29900,2,9.9,松嶋桃,白鳥翔,張敏賢,松本圭世,10,2,0,1,3,0,1,0
9,2018R,2018/10/08,月,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,40900,1,60.9,小林未沙,滝沢和典,張敏賢,松本圭世,12,4,1,1,3,3,1,0
9,2018R,2018/10/08,月,1,渋谷ABEMAS,白鳥翔,37600,2,17.6,小林未沙,滝沢和典,張敏賢,松本圭世,12,2,0,1,7,3,2,0
9,2018R,2018/10/08,月,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,7400,4,-52.6,小林未沙,滝沢和典,張敏賢,松本圭世,12,2,4,3,0,3,0,0
9,2018R,2018/10/08,月,1,U-NEXT Pirates,小林剛,14100,3,-25.9,小林未沙,滝沢和典,張敏賢,松本圭世,12,1,1,1,9,3,1,0
10,2018R,2018/10/08,月,2,渋谷ABEMAS,松本吉弘,16200,3,-23.8,小林未沙,滝沢和典,張敏賢,松本圭世,8,2,1,3,1,1,0,0
10,2018R,2018/10/08,月,2,KONAMI 麻雀格闘倶楽部,前原雄大,36900,1,56.9,小林未沙,滝沢和典,張敏賢,松本圭世,8,2,2,3,2,1,0,0
10,2018R,2018/10/08,月,2,U-NEXT Pirates,小林剛,34700,2,14.7,小林未沙,滝沢和典,張敏賢,松本圭世,8,3,1,2,6,1,0,0
10,2018R,2018/10/08,月,2,TEAM RAIDEN / 雷電,萩原聖人,12200,4,-47.8,小林未沙,滝沢和典,張敏賢,松本圭世,8,0,2,1,0,1,0,0
11,2018R,2018/10/09,火,1,U-NEXT Pirates,石橋伸洋,18400,3,-21.6,小林未沙,村上淳,張敏賢,松本圭世,13,3,2,3,6,2,0,0
11,2018R,2018/10/09,火,1,KONAMI 麻雀格闘倶楽部,前原雄大,18500,2,-1.5,小林未沙,村上淳,張敏賢,松本圭世,13,1,1,3,6,2,0,0
11,2018R,2018/10/09,火,1,渋谷ABEMAS,白鳥翔,51000,1,71,小林未沙,村上淳,張敏賢,松本圭世,13,6,0,2,3,2,5,0
11,2018R,2018/10/09,火,1,セガサミーフェニックス,茅森早香,12100,4,-47.9,小林未沙,村上淳,張敏賢,松本圭世,13,1,2,1,8,2,0,0
12,2018R,2018/10/09,火,2,渋谷ABEMAS,多井隆晴,48100,1,68.1,小林未沙,村上淳,張敏賢,松本圭世,17,7,1,1,10,4,5,0
12,2018R,2018/10/09,火,2,セガサミーフェニックス,茅森早香,24700,3,-15.3,小林未沙,村上淳,張敏賢,松本圭世,17,2,1,5,3,4,1,0
12,2018R,2018/10/09,火,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,-10800,4,-70.8,小林未沙,村上淳,張敏賢,松本圭世,17,0,5,2,2,4,0,0
12,2018R,2018/10/09,火,2,U-NEXT Pirates,朝倉康心,38000,2,18,小林未沙,村上淳,張敏賢,松本圭世,17,4,2,4,3,4,3,0
13,2018R,2018/10/11,木,1,赤坂ドリブンズ,村上淳,25900,2,5.9,小林未沙,白鳥翔,張敏賢,松本圭世,12,4,4,3,4,1,0,0
13,2018R,2018/10/11,木,1,EX風林火山,勝又健志,11400,3,-28.6,小林未沙,白鳥翔,張敏賢,松本圭世,12,0,2,0,3,1,0,0
13,2018R,2018/10/11,木,1,セガサミーフェニックス,近藤誠一,55500,1,75.5,小林未沙,白鳥翔,張敏賢,松本圭世,12,5,1,4,2,1,4,0
13,2018R,2018/10/11,木,1,TEAM RAIDEN / 雷電,黒沢咲,7200,4,-52.8,小林未沙,白鳥翔,張敏賢,松本圭世,12,2,2,2,1,1,0,0
14,2018R,2018/10/11,木,2,赤坂ドリブンズ,鈴木たろう,-2700,4,-62.7,小林未沙,白鳥翔,張敏賢,松本圭世,13,1,3,3,8,1,0,0
14,2018R,2018/10/11,木,2,EX風林火山,二階堂亜樹,29500,3,-10.5,小林未沙,白鳥翔,張敏賢,松本圭世,13,4,2,1,1,1,1,0
14,2018R,2018/10/11,木,2,セガサミーフェニックス,近藤誠一,41100,1,61.1,小林未沙,白鳥翔,張敏賢,松本圭世,13,5,2,5,1,1,3,0
14,2018R,2018/10/11,木,2,TEAM RAIDEN / 雷電,萩原聖人,32100,2,12.1,小林未沙,白鳥翔,張敏賢,松本圭世,13,2,0,3,1,1,1,0
