no.,stage,date,weekday,match_no,team,player,point,rank,pt,host,commentary,judge,reporter,round_no,win_no,deal_in_no,riichi_no,call_no,drawn_no,renchan_no,4call_no
190,2019R,2019/10/21,月,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,20100,3,-29.9,小林未沙,滝沢和典,梶本琢程,松本圭世,12,1,0,1,2,6,0,0
190,2019R,2019/10/21,月,2,U-NEXT Pirates,朝倉康心,20100,3,-29.9,小林未沙,滝沢和典,梶本琢程,松本圭世,12,1,1,1,3,6,1,0
190,2019R,2019/10/21,月,2,赤坂ドリブンズ,鈴木たろう,34100,1,54.1,小林未沙,滝沢和典,梶本琢程,松本圭世,12,2,0,0,4,6,3,0
190,2019R,2019/10/21,月,2,渋谷ABEMAS,白鳥翔,25700,2,5.7,小林未沙,滝沢和典,梶本琢程,松本圭世,12,2,1,2,6,6,0,0
191,2019R,2019/10/22,火,1,KADOKAWAサクラナイツ,岡田紗佳,22600,3,-17.4,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,14,2,1,2,2,2,1,0
191,2019R,2019/10/22,火,1,KONAMI 麻雀格闘倶楽部,前原雄大,35700,1,55.7,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,14,4,1,4,7,2,0,0
191,2019R,2019/10/22,火,1,セガサミーフェニックス,近藤誠一,33200,2,13.2,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,14,3,1,5,2,2,4,0
191,2019R,2019/10/22,火,1,EX風林火山,勝又健志,8500,4,-51.5,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,14,3,4,3,5,2,1,0
192,2019R,2019/10/22,火,2,セガサミーフェニックス,和久津晶,13200,4,-46.8,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,12,1,3,2,1,1,0,0
192,2019R,2019/10/22,火,2,KONAMI 麻雀格闘倶楽部,藤崎智,16200,3,-23.8,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,12,1,0,0,4,1,0,0
192,2019R,2019/10/22,火,2,KADOKAWAサクラナイツ,内川幸太郎,37100,1,57.1,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,12,4,2,4,5,1,3,0
192,2019R,2019/10/22,火,2,EX風林火山,滝沢和典,33500,2,13.5,松嶋桃,瀬戸熊直樹,張敏賢,松本圭世,12,5,0,3,5,1,1,0
193,2019R,2019/10/24,木,1,KONAMI 麻雀格闘倶楽部,藤崎智,10400,3,-29.6,日吉辰哉,村上淳,梶本琢程,松本圭世,17,2,4,2,4,3,1,0
193,2019R,2019/10/24,木,1,セガサミーフェニックス,魚谷侑未,56300,1,76.3,日吉辰哉,村上淳,梶本琢程,松本圭世,17,5,0,3,4,3,3,0
193,2019R,2019/10/24,木,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,45500,2,25.5,日吉辰哉,村上淳,梶本琢程,松本圭世,17,5,1,5,2,3,3,0
193,2019R,2019/10/24,木,1,渋谷ABEMAS,日向藍子,-12200,4,-72.2,日吉辰哉,村上淳,梶本琢程,松本圭世,17,2,4,3,13,3,2,0
194,2019R,2019/10/24,木,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,12200,4,-47.8,日吉辰哉,村上淳,梶本琢程,松本圭世,12,2,1,6,5,1,1,0
194,2019R,2019/10/24,木,2,セガサミーフェニックス,魚谷侑未,31700,1,51.7,日吉辰哉,村上淳,梶本琢程,松本圭世,12,3,2,2,5,1,1,0
194,2019R,2019/10/24,木,2,TEAM RAIDEN / 雷電,萩原聖人,30100,2,10.1,日吉辰哉,村上淳,梶本琢程,松本圭世,12,3,2,2,1,1,2,0
194,2019R,2019/10/24,木,2,渋谷ABEMAS,多井隆晴,26000,3,-14,日吉辰哉,村上淳,梶本琢程,松本圭世,12,3,0,2,3,1,0,0
195,2019R,2019/10/25,金,1,EX風林火山,滝沢和典,33000,2,13,松嶋桃,松本吉弘,張敏賢,松本圭世,16,4,1,4,6,3,4,0
195,2019R,2019/10/25,金,1,赤坂ドリブンズ,村上淳,0,4,-60,松嶋桃,松本吉弘,張敏賢,松本圭世,16,2,2,2,2,3,0,0
195,2019R,2019/10/25,金,1,U-NEXT Pirates,瑞原明奈,22800,3,-17.2,松嶋桃,松本吉弘,張敏賢,松本圭世,16,4,2,3,4,3,0,0
195,2019R,2019/10/25,金,1,KADOKAWAサクラナイツ,沢崎誠,44200,1,64.2,松嶋桃,松本吉弘,張敏賢,松本圭世,16,3,1,4,5,3,4,0
196,2019R,2019/10/25,金,2,赤坂ドリブンズ,園田賢,17000,3,-23,松嶋桃,松本吉弘,張敏賢,松本圭世,14,3,2,3,5,1,1,0
196,2019R,2019/10/25,金,2,EX風林火山,勝又健志,3200,4,-56.8,松嶋桃,松本吉弘,張敏賢,松本圭世,14,1,3,2,6,1,1,0
196,2019R,2019/10/25,金,2,U-NEXT Pirates,石橋伸洋,53400,1,73.4,松嶋桃,松本吉弘,張敏賢,松本圭世,14,5,0,3,5,1,3,0
196,2019R,2019/10/25,金,2,KADOKAWAサクラナイツ,沢崎誠,26400,2,6.4,松嶋桃,松本吉弘,張敏賢,松本圭世,14,4,0,1,7,1,1,0
197,2019R,2019/10/26,土,1,EX風林火山,二階堂亜樹,19500,3,-20.5,小林未沙,藤崎智,張敏賢,松本圭世,10,0,1,1,1,3,0,0
197,2019R,2019/10/26,土,1,セガサミーフェニックス,茅森早香,30100,2,10.1,小林未沙,藤崎智,張敏賢,松本圭世,10,2,1,1,4,3,1,0
197,2019R,2019/10/26,土,1,赤坂ドリブンズ,園田賢,35000,1,55,小林未沙,藤崎智,張敏賢,松本圭世,10,5,1,3,5,3,1,0
197,2019R,2019/10/26,土,1,TEAM RAIDEN / 雷電,黒沢咲,15400,4,-44.6,小林未沙,藤崎智,張敏賢,松本圭世,10,0,0,1,0,3,0,0
198,2019R,2019/10/26,土,2,赤坂ドリブンズ,鈴木たろう,5500,3,-34.5,小林未沙,藤崎智,張敏賢,松本圭世,15,3,2,3,8,2,2,0
198,2019R,2019/10/26,土,2,セガサミーフェニックス,茅森早香,-12500,4,-72.5,小林未沙,藤崎智,張敏賢,松本圭世,15,2,3,6,3,2,1,0
198,2019R,2019/10/26,土,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,55200,1,75.2,小林未沙,藤崎智,張敏賢,松本圭世,15,2,1,2,3,2,0,0
198,2019R,2019/10/26,土,2,EX風林火山,勝又健志,51800,2,31.8,小林未沙,藤崎智,張敏賢,松本圭世,15,6,0,5,3,2,4,0
199,2019R,2019/10/28,月,1,渋谷ABEMAS,白鳥翔,41800,1,61.8,小林未沙,園田賢,梶本琢程,松本圭世,11,3,0,1,2,2,0,0
199,2019R,2019/10/28,月,1,KADOKAWAサクラナイツ,岡田紗佳,7200,4,-52.8,小林未沙,園田賢,梶本琢程,松本圭世,11,2,3,3,5,2,1,0
199,2019R,2019/10/28,月,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,20000,3,-20,小林未沙,園田賢,梶本琢程,松本圭世,11,2,2,4,3,2,2,0
199,2019R,2019/10/28,月,1,U-NEXT Pirates,石橋伸洋,31000,2,11,小林未沙,園田賢,梶本琢程,松本圭世,11,2,1,1,8,2,0,0
200,2019R,2019/10/28,月,2,U-NEXT Pirates,小林剛,29200,1,49.2,小林未沙,園田賢,梶本琢程,松本圭世,9,2,0,2,3,3,0,0
200,2019R,2019/10/28,月,2,渋谷ABEMAS,松本吉弘,20200,4,-39.8,小林未沙,園田賢,梶本琢程,松本圭世,9,1,1,2,2,3,0,0
200,2019R,2019/10/28,月,2,KONAMI 麻雀格闘倶楽部,藤崎智,21600,3,-18.4,小林未沙,園田賢,梶本琢程,松本圭世,9,1,1,1,1,3,0,0
200,2019R,2019/10/28,月,2,KADOKAWAサクラナイツ,内川幸太郎,29000,2,9,小林未沙,園田賢,梶本琢程,松本圭世,9,2,1,5,2,3,1,0
201,2019R,2019/10/29,火,1,赤坂ドリブンズ,丸山奏子,32700,1,52.7,小林未沙,石橋伸洋,張敏賢,松本圭世,12,4,1,3,5,3,0,0
201,2019R,2019/10/29,火,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,13500,4,-46.5,小林未沙,石橋伸洋,張敏賢,松本圭世,12,1,3,2,2,3,1,0
201,2019R,2019/10/29,火,1,渋谷ABEMAS,多井隆晴,26700,3,-13.3,小林未沙,石橋伸洋,張敏賢,松本圭世,12,3,0,2,4,3,1,0
201,2019R,2019/10/29,火,1,EX風林火山,滝沢和典,27100,2,7.1,小林未沙,石橋伸洋,張敏賢,松本圭世,12,1,1,2,4,3,2,0
202,2019R,2019/10/29,火,2,赤坂ドリブンズ,園田賢,39800,2,19.8,小林未沙,石橋伸洋,張敏賢,松本圭世,12,3,1,2,11,2,2,0
202,2019R,2019/10/29,火,2,渋谷ABEMAS,日向藍子,7500,3,-32.5,小林未沙,石橋伸洋,張敏賢,松本圭世,12,2,2,3,0,2,0,0
202,2019R,2019/10/29,火,2,EX風林火山,二階堂亜樹,6100,4,-53.9,小林未沙,石橋伸洋,張敏賢,松本圭世,12,1,1,1,0,2,0,0
202,2019R,2019/10/29,火,2,KONAMI 麻雀格闘倶楽部,前原雄大,46600,1,66.6,小林未沙,石橋伸洋,張敏賢,松本圭世,12,4,1,2,9,2,2,0
203,2019R,2019/10/31,木,1,セガサミーフェニックス,茅森早香,28600,2,8.6,日吉辰哉,土田浩翔,張敏賢,松本圭世,10,4,2,3,3,1,2,0
203,2019R,2019/10/31,木,1,KADOKAWAサクラナイツ,沢崎誠,17100,4,-42.9,日吉辰哉,土田浩翔,張敏賢,松本圭世,10,2,2,1,3,1,0,0
203,2019R,2019/10/31,木,1,U-NEXT Pirates,瑞原明奈,24300,3,-15.7,日吉辰哉,土田浩翔,張敏賢,松本圭世,10,1,1,2,1,1,0,0
203,2019R,2019/10/31,木,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,30000,1,50,日吉辰哉,土田浩翔,張敏賢,松本圭世,10,2,1,2,0,1,0,0
204,2019R,2019/10/31,木,2,TEAM RAIDEN / 雷電,黒沢咲,21000,3,-19,日吉辰哉,土田浩翔,張敏賢,松本圭世,11,0,0,0,0,5,0,0
204,2019R,2019/10/31,木,2,KADOKAWAサクラナイツ,岡田紗佳,33900,1,33.9,日吉辰哉,土田浩翔,張敏賢,松本圭世,11,3,1,3,2,5,2,0
204,2019R,2019/10/31,木,2,U-NEXT Pirates,小林剛,33900,1,33.9,日吉辰哉,土田浩翔,張敏賢,松本圭世,11,2,2,2,7,5,0,0
204,2019R,2019/10/31,木,2,セガサミーフェニックス,魚谷侑未,11200,4,-48.8,日吉辰哉,土田浩翔,張敏賢,松本圭世,11,1,2,4,5,5,1,0
205,2019R,2019/11/01,金,1,KONAMI 麻雀格闘倶楽部,高宮まり,27300,2,7.3,松嶋桃,勝又健志,張敏賢,松本圭世,10,3,1,4,1,2,0,0
205,2019R,2019/11/01,金,1,赤坂ドリブンズ,鈴木たろう,12800,4,-47.2,松嶋桃,勝又健志,張敏賢,松本圭世,10,1,1,3,4,2,0,0
205,2019R,2019/11/01,金,1,U-NEXT Pirates,朝倉康心,23900,3,-16.1,松嶋桃,勝又健志,張敏賢,松本圭世,10,1,1,3,4,2,1,0
205,2019R,2019/11/01,金,1,渋谷ABEMAS,松本吉弘,36000,1,56,松嶋桃,勝又健志,張敏賢,松本圭世,10,3,2,1,1,2,1,0
206,2019R,2019/11/01,金,2,渋谷ABEMAS,多井隆晴,4300,4,-55.7,松嶋桃,勝又健志,張敏賢,松本圭世,13,1,3,4,1,4,2,0
206,2019R,2019/11/01,金,2,赤坂ドリブンズ,園田賢,37500,2,17.5,松嶋桃,勝又健志,張敏賢,松本圭世,13,2,0,4,5,4,2,0
206,2019R,2019/11/01,金,2,U-NEXT Pirates,瑞原明奈,44100,1,64.1,松嶋桃,勝又健志,張敏賢,松本圭世,13,3,0,5,1,4,0,0
206,2019R,2019/11/01,金,2,KONAMI 麻雀格闘倶楽部,高宮まり,14100,3,-25.9,松嶋桃,勝又健志,張敏賢,松本圭世,13,3,2,2,4,4,1,0
207,2019R,2019/11/04,月,1,EX風林火山,勝又健志,46900,1,66.9,小林未沙,鈴木たろう,張敏賢,松本圭世,19,3,0,2,3,8,3,0
207,2019R,2019/11/04,月,1,セガサミーフェニックス,茅森早香,38600,2,18.6,小林未沙,鈴木たろう,張敏賢,松本圭世,19,4,1,7,4,8,3,0
207,2019R,2019/11/04,月,1,KADOKAWAサクラナイツ,沢崎誠,13000,3,-27,小林未沙,鈴木たろう,張敏賢,松本圭世,19,2,0,5,3,8,0,0
207,2019R,2019/11/04,月,1,TEAM RAIDEN / 雷電,萩原聖人,1500,4,-58.5,小林未沙,鈴木たろう,張敏賢,松本圭世,19,2,3,7,2,8,5,0
208,2019R,2019/11/04,月,2,KADOKAWAサクラナイツ,沢崎誠,30700,2,10.7,小林未沙,鈴木たろう,張敏賢,松本圭世,8,3,0,2,3,1,0,0
208,2019R,2019/11/04,月,2,EX風林火山,勝又健志,400,4,-59.6,小林未沙,鈴木たろう,張敏賢,松本圭世,8,0,2,2,1,1,0,0
208,2019R,2019/11/04,月,2,セガサミーフェニックス,魚谷侑未,46600,1,66.6,小林未沙,鈴木たろう,張敏賢,松本圭世,8,2,1,1,4,1,0,0
208,2019R,2019/11/04,月,2,TEAM RAIDEN / 雷電,黒沢咲,22300,3,-17.7,小林未沙,鈴木たろう,張敏賢,松本圭世,8,2,0,4,1,1,0,0
209,2019R,2019/11/05,火,1,セガサミーフェニックス,和久津晶,23000,2,3,松嶋桃,村上淳,梶本琢程,松本圭世,11,3,3,2,9,1,0,0
209,2019R,2019/11/05,火,1,渋谷ABEMAS,白鳥翔,14600,4,-45.4,松嶋桃,村上淳,梶本琢程,松本圭世,11,0,2,1,2,1,0,0
209,2019R,2019/11/05,火,1,KONAMI 麻雀格闘倶楽部,前原雄大,43800,1,63.8,松嶋桃,村上淳,梶本琢程,松本圭世,11,5,2,3,9,1,3,0
209,2019R,2019/11/05,火,1,KADOKAWAサクラナイツ,内川幸太郎,18600,3,-21.4,松嶋桃,村上淳,梶本琢程,松本圭世,11,2,3,1,2,1,0,0
210,2019R,2019/11/05,火,2,KADOKAWAサクラナイツ,内川幸太郎,31000,1,51,松嶋桃,村上淳,梶本琢程,松本圭世,8,3,0,3,1,0,0,0
210,2019R,2019/11/05,火,2,セガサミーフェニックス,魚谷侑未,19500,4,-40.5,松嶋桃,村上淳,梶本琢程,松本圭世,8,2,1,2,0,0,0,0
210,2019R,2019/11/05,火,2,渋谷ABEMAS,多井隆晴,25500,2,5.5,松嶋桃,村上淳,梶本琢程,松本圭世,8,2,1,1,7,0,0,0
210,2019R,2019/11/05,火,2,KONAMI 麻雀格闘倶楽部,藤崎智,24000,3,-16,松嶋桃,村上淳,梶本琢程,松本圭世,8,1,2,1,3,0,0,0
211,2019R,2019/11/07,木,1,赤坂ドリブンズ,村上淳,2600,3,-37.4,日吉辰哉,多井隆晴,梶本琢程,松本圭世,18,1,2,3,9,5,2,0
211,2019R,2019/11/07,木,1,EX風林火山,滝沢和典,49000,2,29,日吉辰哉,多井隆晴,梶本琢程,松本圭世,18,4,2,6,3,5,3,0
211,2019R,2019/11/07,木,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,52000,1,72,日吉辰哉,多井隆晴,梶本琢程,松本圭世,18,7,1,8,0,5,4,0
211,2019R,2019/11/07,木,1,U-NEXT Pirates,石橋伸洋,-3600,4,-63.6,日吉辰哉,多井隆晴,梶本琢程,松本圭世,18,1,3,3,6,5,1,0
212,2019R,2019/11/07,木,2,TEAM RAIDEN / 雷電,萩原聖人,25100,2,5.1,日吉辰哉,多井隆晴,梶本琢程,松本圭世,9,2,1,3,2,1,0,0
212,2019R,2019/11/07,木,2,EX風林火山,滝沢和典,32500,1,52.5,日吉辰哉,多井隆晴,梶本琢程,松本圭世,9,3,1,1,1,1,0,0
212,2019R,2019/11/07,木,2,U-NEXT Pirates,小林剛,23900,3,-16.1,日吉辰哉,多井隆晴,梶本琢程,松本圭世,9,2,0,2,0,1,1,0
212,2019R,2019/11/07,木,2,赤坂ドリブンズ,園田賢,18500,4,-41.5,日吉辰哉,多井隆晴,梶本琢程,松本圭世,9,1,1,1,7,1,0,0
213,2019R,2019/11/08,金,1,TEAM RAIDEN / 雷電,萩原聖人,37700,1,57.7,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,3,2,4,1,1,1,0
213,2019R,2019/11/08,金,1,KONAMI 麻雀格闘倶楽部,高宮まり,11300,4,-48.7,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,1,2,4,2,1,0,0
213,2019R,2019/11/08,金,1,EX風林火山,二階堂亜樹,31700,2,11.7,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,2,0,1,4,1,0,0
213,2019R,2019/11/08,金,1,U-NEXT Pirates,小林剛,19300,3,-20.7,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,3,2,2,7,1,1,0
214,2019R,2019/11/08,金,2,U-NEXT Pirates,瑞原明奈,17000,3,-23,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,0,0,1,2,0,0,0
214,2019R,2019/11/08,金,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,13400,4,-46.6,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,2,3,4,0,0,1,0
214,2019R,2019/11/08,金,2,EX風林火山,勝又健志,35500,1,55.5,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,6,2,7,0,0,1,0
214,2019R,2019/11/08,金,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,34100,2,14.1,松嶋桃,内川幸太郎,張敏賢,松本圭世,10,2,1,5,1,0,0,0
215,2019R,2019/11/10,日,1,渋谷ABEMAS,多井隆晴,43700,2,23.7,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,3,2,5,5,3,3,0
215,2019R,2019/11/10,日,1,セガサミーフェニックス,近藤誠一,10500,3,-29.5,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,1,2,4,4,3,0,0
215,2019R,2019/11/10,日,1,KADOKAWAサクラナイツ,岡田紗佳,700,4,-59.3,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,3,3,5,0,3,1,0
215,2019R,2019/11/10,日,1,赤坂ドリブンズ,鈴木たろう,45100,1,65.1,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,5,1,3,3,3,3,0
216,2019R,2019/11/10,日,2,赤坂ドリブンズ,鈴木たろう,12200,3,-27.8,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,2,2,4,7,4,2,0
216,2019R,2019/11/10,日,2,セガサミーフェニックス,和久津晶,34200,2,14.2,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,5,2,2,2,4,0,0
216,2019R,2019/11/10,日,2,KADOKAWAサクラナイツ,内川幸太郎,60600,1,80.6,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,4,0,5,5,4,5,0
216,2019R,2019/11/10,日,2,渋谷ABEMAS,白鳥翔,-7000,4,-67,松嶋桃,萩原聖人,梶本琢程,松本圭世,15,0,3,2,6,4,0,0
217,2019R,2019/11/11,月,1,EX風林火山,二階堂亜樹,24000,3,-16,小林未沙,小林剛,梶本琢程,松本圭世,11,2,2,3,0,5,0,0
217,2019R,2019/11/11,月,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,44500,1,64.5,小林未沙,小林剛,梶本琢程,松本圭世,11,2,0,4,3,5,2,0
217,2019R,2019/11/11,月,1,渋谷ABEMAS,松本吉弘,7100,4,-52.9,小林未沙,小林剛,梶本琢程,松本圭世,11,1,2,3,0,5,1,0
217,2019R,2019/11/11,月,1,KADOKAWAサクラナイツ,内川幸太郎,24400,2,4.4,小林未沙,小林剛,梶本琢程,松本圭世,11,1,0,2,1,5,0,0
218,2019R,2019/11/11,月,2,渋谷ABEMAS,松本吉弘,22700,3,-17.3,小林未沙,小林剛,梶本琢程,松本圭世,14,2,1,3,5,0,0,0
218,2019R,2019/11/11,月,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,31200,1,51.2,小林未沙,小林剛,梶本琢程,松本圭世,14,6,5,5,4,0,4,0
218,2019R,2019/11/11,月,2,EX風林火山,滝沢和典,22100,4,-37.9,小林未沙,小林剛,梶本琢程,松本圭世,14,4,2,3,2,0,2,0
218,2019R,2019/11/11,月,2,KADOKAWAサクラナイツ,沢崎誠,24000,2,4,小林未沙,小林剛,梶本琢程,松本圭世,14,2,0,2,1,0,0,0
219,2019R,2019/11/12,火,1,U-NEXT Pirates,小林剛,25900,2,5.9,松嶋桃,土田浩翔,張敏賢,松本圭世,9,3,0,0,5,2,0,0
219,2019R,2019/11/12,火,1,TEAM RAIDEN / 雷電,黒沢咲,18900,3,-21.1,松嶋桃,土田浩翔,張敏賢,松本圭世,9,1,1,0,1,2,0,0
219,2019R,2019/11/12,火,1,赤坂ドリブンズ,村上淳,40900,1,60.9,松嶋桃,土田浩翔,張敏賢,松本圭世,9,3,0,1,3,2,0,0
219,2019R,2019/11/12,火,1,セガサミーフェニックス,魚谷侑未,14300,4,-45.7,松嶋桃,土田浩翔,張敏賢,松本圭世,9,0,3,1,0,2,1,0
220,2019R,2019/11/12,火,2,TEAM RAIDEN / 雷電,萩原聖人,23000,4,-37,松嶋桃,土田浩翔,張敏賢,松本圭世,11,2,2,1,1,3,3,0
220,2019R,2019/11/12,火,2,セガサミーフェニックス,和久津晶,24500,2,4.5,松嶋桃,土田浩翔,張敏賢,松本圭世,11,1,0,1,1,3,0,0
220,2019R,2019/11/12,火,2,U-NEXT Pirates,石橋伸洋,28500,1,48.5,松嶋桃,土田浩翔,張敏賢,松本圭世,11,3,0,3,3,3,0,0
220,2019R,2019/11/12,火,2,赤坂ドリブンズ,園田賢,24000,3,-16,松嶋桃,土田浩翔,張敏賢,松本圭世,11,2,0,2,3,3,0,0
221,2019R,2019/11/14,木,1,赤坂ドリブンズ,丸山奏子,2000,4,-58,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,14,2,2,3,4,4,3,0
221,2019R,2019/11/14,木,1,KADOKAWAサクラナイツ,沢崎誠,51800,1,71.8,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,14,3,1,3,3,4,1,0
221,2019R,2019/11/14,木,1,KONAMI 麻雀格闘倶楽部,前原雄大,6700,3,-33.3,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,14,2,2,2,6,4,0,0
221,2019R,2019/11/14,木,1,セガサミーフェニックス,魚谷侑未,39500,2,19.5,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,14,3,0,5,2,4,2,0
222,2019R,2019/11/14,木,2,セガサミーフェニックス,近藤誠一,37700,2,17.7,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,12,3,1,4,5,4,2,0
222,2019R,2019/11/14,木,2,KONAMI 麻雀格闘倶楽部,藤崎智,15600,3,-24.4,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,12,1,0,0,6,4,0,0
222,2019R,2019/11/14,木,2,赤坂ドリブンズ,鈴木たろう,43900,1,63.9,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,12,2,1,2,10,4,2,0
222,2019R,2019/11/14,木,2,KADOKAWAサクラナイツ,沢崎誠,2800,4,-57.2,日吉辰哉,瀬戸熊直樹,張敏賢,松本圭世,12,2,1,1,5,4,0,0
223,2019R,2019/11/15,金,1,U-NEXT Pirates,朝倉康心,27900,2,7.9,松嶋桃,佐々木寿人,張敏賢,松本圭世,13,2,0,2,9,3,2,0
223,2019R,2019/11/15,金,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,20300,3,-19.7,松嶋桃,佐々木寿人,張敏賢,松本圭世,13,2,3,1,5,3,1,0
223,2019R,2019/11/15,金,1,渋谷ABEMAS,日向藍子,7100,4,-52.9,松嶋桃,佐々木寿人,張敏賢,松本圭世,13,2,3,3,2,3,0,0
223,2019R,2019/11/15,金,1,EX風林火山,二階堂亜樹,44700,1,64.7,松嶋桃,佐々木寿人,張敏賢,松本圭世,13,4,0,2,0,3,2,0
224,2019R,2019/11/15,金,2,EX風林火山,滝沢和典,8100,4,-51.9,松嶋桃,佐々木寿人,張敏賢,松本圭世,10,2,3,1,1,1,0,0
224,2019R,2019/11/15,金,2,U-NEXT Pirates,朝倉康心,22500,3,-17.5,松嶋桃,佐々木寿人,張敏賢,松本圭世,10,1,3,4,2,1,2,0
224,2019R,2019/11/15,金,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,31900,2,11.9,松嶋桃,佐々木寿人,張敏賢,松本圭世,10,3,1,0,3,1,0,0
224,2019R,2019/11/15,金,2,渋谷ABEMAS,多井隆晴,37500,1,57.5,松嶋桃,佐々木寿人,張敏賢,松本圭世,10,3,0,2,3,1,0,0
225,2019R,2019/11/18,月,1,EX風林火山,勝又健志,41800,1,61.8,小林未沙,白鳥翔,梶本琢程,松本圭世,13,2,0,2,4,4,1,0
225,2019R,2019/11/18,月,1,KONAMI 麻雀格闘倶楽部,高宮まり,37300,2,17.3,小林未沙,白鳥翔,梶本琢程,松本圭世,13,2,2,4,0,4,2,0
225,2019R,2019/11/18,月,1,赤坂ドリブンズ,園田賢,31700,3,-8.3,小林未沙,白鳥翔,梶本琢程,松本圭世,13,4,2,3,5,4,2,0
225,2019R,2019/11/18,月,1,TEAM RAIDEN / 雷電,黒沢咲,-10800,4,-70.8,小林未沙,白鳥翔,梶本琢程,松本圭世,13,1,4,0,4,4,0,0
226,2019R,2019/11/18,月,2,KONAMI 麻雀格闘倶楽部,前原雄大,-16400,4,-76.4,小林未沙,白鳥翔,梶本琢程,松本圭世,16,4,4,5,4,1,3,0
226,2019R,2019/11/18,月,2,EX風林火山,滝沢和典,23400,3,-16.6,小林未沙,白鳥翔,梶本琢程,松本圭世,16,2,1,3,4,1,1,0
226,2019R,2019/11/18,月,2,TEAM RAIDEN / 雷電,萩原聖人,37400,2,17.4,小林未沙,白鳥翔,梶本琢程,松本圭世,16,4,1,3,2,1,1,0
226,2019R,2019/11/18,月,2,赤坂ドリブンズ,村上淳,55600,1,75.6,小林未沙,白鳥翔,梶本琢程,松本圭世,16,5,4,3,2,1,3,0
227,2019R,2019/11/19,火,1,KADOKAWAサクラナイツ,岡田紗佳,35800,2,15.8,小林未沙,滝沢和典,張敏賢,松本圭世,14,3,1,3,5,4,1,0
227,2019R,2019/11/19,火,1,U-NEXT Pirates,瑞原明奈,37000,1,57,小林未沙,滝沢和典,張敏賢,松本圭世,14,5,1,4,3,4,3,0
227,2019R,2019/11/19,火,1,セガサミーフェニックス,近藤誠一,16000,3,-24,小林未沙,滝沢和典,張敏賢,松本圭世,14,1,1,2,5,4,1,0
227,2019R,2019/11/19,火,1,渋谷ABEMAS,松本吉弘,11200,4,-48.8,小林未沙,滝沢和典,張敏賢,松本圭世,14,1,3,3,6,4,1,0
228,2019R,2019/11/19,火,2,U-NEXT Pirates,小林剛,3400,2,-16.6,小林未沙,滝沢和典,張敏賢,松本圭世,17,4,2,4,7,4,1,0
228,2019R,2019/11/19,火,2,KADOKAWAサクラナイツ,沢崎誠,92100,1,112.1,小林未沙,滝沢和典,張敏賢,松本圭世,17,8,2,4,12,4,8,0
228,2019R,2019/11/19,火,2,渋谷ABEMAS,多井隆晴,2000,4,-58,小林未沙,滝沢和典,張敏賢,松本圭世,17,1,3,3,4,4,0,0
228,2019R,2019/11/19,火,2,セガサミーフェニックス,魚谷侑未,2500,3,-37.5,小林未沙,滝沢和典,張敏賢,松本圭世,17,0,2,2,0,4,0,0
229,2019R,2019/11/21,木,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,40400,2,20.4,日吉辰哉,土田浩翔,梶本琢程,松本圭世,23,6,1,8,1,9,2,0
